id,user_id,role_id,org_unit_id,granted_by,expires_at,created_at
c354da85-f7e3-4eee-b006-f40b05c8b241,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,7125c931-a588-4fa0-b6fc-f4f5f8306834,8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
f6171870-9a8c-4ef4-9126-b45d85c6084d,05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,7125c931-a588-4fa0-b6fc-f4f5f8306834,dc26f153-404e-47f8-8034-eb07783f1c9d,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
ec236dd5-d730-4619-8f5c-c958ca9a189f,1c4df881-cca6-49a3-9b2e-6a87a781ef63,7125c931-a588-4fa0-b6fc-f4f5f8306834,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
4a871cfb-bd4a-4341-89bd-3676f1c2098d,b556717b-a757-49e7-8859-2d3aeca41e88,7125c931-a588-4fa0-b6fc-f4f5f8306834,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
846d4c2a-5bf2-497b-ab69-6b4126fb74a9,089d3e35-dd8e-48ab-991e-a8f94ccfd969,f71ba978-1866-44ef-a4cb-b46a13f1b9de,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
65d1e7d7-51ce-43c7-8c12-94cfc693c078,b0b54190-fcf5-486a-aa97-94a938211aec,f71ba978-1866-44ef-a4cb-b46a13f1b9de,ff591628-5c79-4358-9a5b-d60833359337,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
aaa37bad-073e-4681-bdd9-c58bc98223f5,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,f71ba978-1866-44ef-a4cb-b46a13f1b9de,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
26402d45-486e-4fb5-8c80-695250b559f2,dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,f71ba978-1866-44ef-a4cb-b46a13f1b9de,faf0affc-ea1d-41f0-97e6-c0f136acfb12,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
55cec81a-38c8-441c-8f81-92e74be20bfc,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,f71ba978-1866-44ef-a4cb-b46a13f1b9de,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
bd14321f-af70-46c8-aaf3-8cacd04addab,074adb51-413b-4a95-a297-532a23028420,f71ba978-1866-44ef-a4cb-b46a13f1b9de,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
907b59ee-4016-429b-989c-3db3cf66f15d,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,f71ba978-1866-44ef-a4cb-b46a13f1b9de,ff591628-5c79-4358-9a5b-d60833359337,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
23445510-9204-42d4-9b2f-e3bca1dba2e0,045d7fdc-085d-4681-9f88-1d8b262ba961,4267a8ba-0dd1-47e7-bfac-7e989cfba4b3,,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
a4f79c6d-9da3-47f1-a4de-c6c9a5de32b9,76368d26-ee94-46f4-a13e-259a7f0ce5dc,4267a8ba-0dd1-47e7-bfac-7e989cfba4b3,,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
61742e64-2a4f-4bcd-8570-2e1fb739dacb,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee,92369649-73a2-4d0f-8cec-4bde508ab98f,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,49d11b97-7c72-49ce-84b3-5fac923e716e,,2026-09-21 12:36:10.142818+00
