id,asset_id,template_id,technician_user_id,priority,status,scheduled_at,started_at,completed_at,checklist_result,parts_cost,labor_cost,downtime_minutes,outcome,completion_notes,next_due_at,created_at,updated_at,created_by,updated_by
435cfac6-715b-49b3-9330-b5cf23b2f14b,7db9993a-c311-4055-9ee8-5ed5c9175837,,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,high,completed,2025-03-13 22:36:10.142818+00,2025-03-13 22:36:10.142818+00,2025-03-14 12:43:10.142818+00,"{""fault_confirmed"": true}",1480.00,450.00,847,part replaced,Corrective job raised from a fault report.,,2025-03-13 22:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
ca198e7a-cc7d-49fb-a297-a83b180b4966,f21f1a4e-f67b-4afc-831b-02970ae18b92,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,medium,completed,2026-04-02 00:00:00+00,2026-04-05 14:00:00+00,2026-04-05 15:39:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,360.00,99,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-09-29 00:00:00+00,2026-04-02 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
6ea69b78-5245-49b4-b8fe-d1c0eb8b789e,f21f1a4e-f67b-4afc-831b-02970ae18b92,,074adb51-413b-4a95-a297-532a23028420,critical,completed,2026-09-03 01:36:10.142818+00,2026-09-03 01:36:10.142818+00,2026-09-04 00:37:10.142818+00,"{""fault_confirmed"": true}",2469.00,450.00,1381,cleaned and reconfigured,Corrective job raised from a fault report.,,2026-09-03 01:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
782ab966-c72f-481c-b555-6d50a42e249c,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,medium,completed,2024-03-04 12:36:10.142818+00,2024-03-07 23:36:10.142818+00,2024-03-08 01:50:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",584.00,360.00,134,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-08-31 12:36:10.142818+00,2024-03-04 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
c6b44430-ecec-46c2-9fe6-c07c45660e54,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,low,completed,2024-08-31 12:36:10.142818+00,2024-09-04 22:36:10.142818+00,2024-09-05 00:56:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,480.00,140,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-02-27 12:36:10.142818+00,2024-08-31 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
acfe3ccb-3adb-4578-b5c6-b9d0e4005233,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,low,completed,2025-02-27 12:36:10.142818+00,2025-03-05 20:36:10.142818+00,2025-03-05 23:34:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",1046.00,360.00,178,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-08-26 12:36:10.142818+00,2025-02-27 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
5c7df13f-a2d9-406e-971c-0af3768171d4,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,low,completed,2025-08-26 12:36:10.142818+00,2025-09-02 22:36:10.142818+00,2025-09-03 00:18:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",313.00,240.00,102,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-02-22 12:36:10.142818+00,2025-08-26 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
339de3e1-5450-4ad0-8e9e-df20dd4e3684,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,low,completed,2026-02-22 12:36:10.142818+00,2026-02-27 01:36:10.142818+00,2026-02-27 02:13:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",588.00,360.00,37,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-08-21 12:36:10.142818+00,2026-02-22 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
b2480b64-35ff-4587-9e44-41e14ac6c82c,e5f03288-56b5-4e41-aeae-32ac9ca686ed,ba34b363-aaaf-4973-9c54-304cdc093281,dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,medium,completed,2026-08-21 12:36:10.142818+00,2026-08-22 20:36:10.142818+00,2026-08-22 23:24:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,360.00,168,preventive service completed,"Scheduled preventive maintenance, no fault found.",2027-02-17 12:36:10.142818+00,2026-08-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
2ee55a4d-15d0-480e-9cd0-e61c83cdbba1,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,medium,completed,2024-03-18 12:36:10.142818+00,2024-03-26 02:36:10.142818+00,2024-03-26 03:35:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",328.00,240.00,59,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-09-14 12:36:10.142818+00,2024-03-18 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
2fc1da8b-0582-459f-bb2e-ff82c4a2f9e5,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,low,completed,2024-09-14 12:36:10.142818+00,2024-09-16 23:36:10.142818+00,2024-09-17 00:31:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,480.00,55,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-03-13 12:36:10.142818+00,2024-09-14 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
0a8caec6-eec3-4f0f-b0e1-32bcfbf01f92,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,high,completed,2025-03-13 12:36:10.142818+00,2025-03-16 21:36:10.142818+00,2025-03-17 00:31:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",599.00,480.00,175,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-09-09 12:36:10.142818+00,2025-03-13 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
a148bfc7-69a2-4279-8d2e-1088b98198a6,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,medium,completed,2025-09-09 12:36:10.142818+00,2025-09-09 21:36:10.142818+00,2025-09-09 23:23:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,107,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-03-08 12:36:10.142818+00,2025-09-09 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
5ce5206a-8bb2-4555-8aaf-0a3e8f3353bd,aecdd574-5cba-40f2-9e7e-6d54fb7c510c,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,medium,scheduled,2026-03-08 12:36:10.142818+00,,,{},0.00,0.00,0,,,,2026-03-01 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
5be5f576-7a83-47ec-80a9-bed4f654d35e,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,medium,completed,2023-11-14 12:36:10.142818+00,2023-11-19 01:36:10.142818+00,2023-11-19 02:31:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,55,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-05-12 12:36:10.142818+00,2023-11-14 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
a72145bc-b4ad-4adb-ba22-8338179b0d56,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,medium,completed,2024-05-12 12:36:10.142818+00,2024-05-12 23:36:10.142818+00,2024-05-13 00:22:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,360.00,46,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-11-08 12:36:10.142818+00,2024-05-12 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
3b931aed-e2e0-461b-a24c-c1008a20b476,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,low,completed,2024-11-08 12:36:10.142818+00,2024-11-11 20:36:10.142818+00,2024-11-11 22:43:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,127,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-05-07 12:36:10.142818+00,2024-11-08 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
903ab392-ac01-4cad-8179-8bc95064a75a,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,high,completed,2025-05-07 12:36:10.142818+00,2025-05-15 02:36:10.142818+00,2025-05-15 05:18:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,162,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-11-03 12:36:10.142818+00,2025-05-07 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
3c113c04-58f9-44f2-89e9-7eb49a7b1918,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,high,completed,2025-11-03 12:36:10.142818+00,2025-11-04 01:36:10.142818+00,2025-11-04 02:26:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,50,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-05-02 12:36:10.142818+00,2025-11-03 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
6932628b-d246-4dff-a5fb-584ab758413a,a3ebae3a-8830-4d9f-bb39-31f1ff5256b6,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,low,completed,2026-05-02 12:36:10.142818+00,2026-05-10 21:36:10.142818+00,2026-05-10 22:13:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",468.00,240.00,37,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-10-29 12:36:10.142818+00,2026-05-02 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
1c9c3c68-0578-462b-99f8-6ac7718cd074,767d8649-57ab-4a11-82c7-39d328b1e970,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,high,completed,2025-09-14 00:00:00+00,2025-09-15 09:00:00+00,2025-09-15 11:08:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,128,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-03-13 00:00:00+00,2025-09-14 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
a345696d-e020-4711-88ba-04009d8099b1,767d8649-57ab-4a11-82c7-39d328b1e970,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,medium,scheduled,2026-03-13 00:00:00+00,,,{},0.00,0.00,0,,,,2026-03-06 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
5b70381d-778e-4b89-8fc3-f915bd137c9c,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,high,completed,2023-10-16 12:36:10.142818+00,2023-10-21 20:36:10.142818+00,2023-10-21 22:22:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,360.00,106,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-04-13 12:36:10.142818+00,2023-10-16 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
b82f0e63-e6a5-413b-b122-350ebc606f6b,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,medium,completed,2024-04-13 12:36:10.142818+00,2024-04-13 21:36:10.142818+00,2024-04-13 22:45:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,69,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-10-10 12:36:10.142818+00,2024-04-13 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
adcadade-bead-4981-8bbc-eeca91e14bd1,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,medium,completed,2024-10-10 12:36:10.142818+00,2024-10-15 02:36:10.142818+00,2024-10-15 05:08:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,480.00,152,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-04-08 12:36:10.142818+00,2024-10-10 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
9dff55b4-66e6-472f-82c9-383ea15f73af,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,high,completed,2025-04-08 12:36:10.142818+00,2025-04-15 20:36:10.142818+00,2025-04-15 22:51:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",645.00,480.00,135,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-10-05 12:36:10.142818+00,2025-04-08 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
e396f67f-9b27-47ef-8812-3f8bc378ae49,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,medium,completed,2025-10-05 12:36:10.142818+00,2025-10-08 01:36:10.142818+00,2025-10-08 03:40:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,120.00,124,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-04-03 12:36:10.142818+00,2025-10-05 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
f8be36ec-17f3-4ce7-9df1-f947d2ee92d2,0f96dd5e-bc40-479b-a4a8-935f141761fe,ba34b363-aaaf-4973-9c54-304cdc093281,dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,medium,completed,2026-04-03 12:36:10.142818+00,2026-04-08 22:36:10.142818+00,2026-04-09 00:12:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",393.00,360.00,96,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-09-30 12:36:10.142818+00,2026-04-03 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
85cdb0cf-0413-452d-a338-dfea2f0f3779,0f96dd5e-bc40-479b-a4a8-935f141761fe,,089d3e35-dd8e-48ab-991e-a8f94ccfd969,medium,completed,2026-05-08 23:36:10.142818+00,2026-05-08 23:36:10.142818+00,2026-05-10 00:19:10.142818+00,"{""fault_confirmed"": true}",0.00,300.00,1483,cleaned and reconfigured,Corrective job raised from a fault report.,,2026-05-08 23:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
82f04af4-4adc-4c33-9169-7f9f66f65f0a,0f96dd5e-bc40-479b-a4a8-935f141761fe,,dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,high,completed,2023-11-18 03:36:10.142818+00,2023-11-18 03:36:10.142818+00,2023-11-19 22:13:10.142818+00,"{""fault_confirmed"": true}",0.00,150.00,2557,cleaned and reconfigured,Corrective job raised from a fault report.,,2023-11-18 03:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
bed6b3b9-8bfb-4a9c-8302-288e26827b91,902ff40c-5768-4b41-9986-00b4bd120b9e,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,medium,completed,2024-03-08 12:36:10.142818+00,2024-03-15 02:36:10.142818+00,2024-03-15 04:10:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,120.00,94,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-09-04 12:36:10.142818+00,2024-03-08 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
a6b3b9be-0357-45ec-bd50-3196157666eb,902ff40c-5768-4b41-9986-00b4bd120b9e,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,high,completed,2024-09-04 12:36:10.142818+00,2024-09-12 20:36:10.142818+00,2024-09-12 22:24:10.142818+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",884.00,360.00,108,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-03-03 12:36:10.142818+00,2024-09-04 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
