id,category_id,current_location_id,custodian_user_id,asset_tag,serial_number,brand,model,specifications,condition,status,purchase_date,purchase_cost,next_maintenance_due_at,risk_band,risk_reasons,retired_at,retirement_reason,created_at,updated_at,created_by,updated_by
9442d853-d0d5-46d0-8059-54ef6893b55f,f4f70d56-e321-4804-9b2d-7bd5ea0e9255,14b66bd0-87c7-4b31-b195-99a166e255b1,,AST-LAB-OSC-00046,LABOSC-553960,LabLine,OSC-101,"{""channels"": 2, ""bandwidth_mhz"": 100}",poor,retired,2021-10-21,62000.00,,unknown,[],2026-01-10 12:36:10.142818+00,Beyond economic repair,2021-10-28 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
010c5824-b67f-49fd-b8d6-631b9108bc27,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,5b86b773-2072-4cf6-ac59-aa6ed5c9e277,,AST-IT-PC-00149,ITPC-730422,Asus,ExpertCenter D500,"{""cpu"": ""i5-11400"", ""ram_gb"": 16, ""storage_gb"": 256}",poor,retired,2021-11-26,17800.00,,unknown,[],2026-09-02 12:36:10.142818+00,Beyond economic repair,2021-12-03 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
ae86aa6d-3e87-4a2a-81ed-6e34d4e56636,06e541d2-a9a0-47e4-96ff-9533e92db5b6,8090e173-233a-4c47-9778-d4fe6f272e43,,AST-FURN-CAB-00304,,Upper Office Works,Cabinet-4D,{},poor,retired,2021-12-26,3460.00,,unknown,[],2026-08-23 12:36:10.142818+00,Beyond economic repair,2022-01-02 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
425c02ac-fc8e-4acd-82fa-ec04c7d1efe7,d722453f-11da-442f-b41b-15b9deacbe80,42a0fa0c-5355-4ca9-b2c2-a1b6993ee48b,,AST-FURN-DESK-00252,,Upper Office Works,Desk-160cm,"{""material"": ""MDF"", ""width_cm"": 180}",poor,retired,2022-01-17,3860.00,,unknown,[],2026-05-25 12:36:10.142818+00,Beyond economic repair,2022-01-24 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
4c863df2-82ce-480f-817f-dc8d6a07af09,95ef5f39-7726-40fc-a96e-a70dc1197538,7d91cdbd-8e9f-4416-aff0-b59104bd3dee,,AST-IT-MONITOR-00055,ITMONITOR-936694,Samsung,V22HD,"{""size_in"": 24, ""resolution"": ""2560x1440""}",poor,retired,2022-06-05,5180.00,,unknown,[],2026-03-03 12:36:10.142818+00,"Obsolete, no spare parts available",2022-06-12 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
eb7f1eea-5650-44c2-8ffa-c20c9becfef2,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,d640dd11-70ae-4fdc-af12-97b61c1003e1,176f3f16-3ab1-409e-8c10-9631bea0edcc,AST-IT-PC-00385,ITPC-600472,HP,ProDesk 600 G6,"{""cpu"": ""i5-11400"", ""ram_gb"": 32, ""storage_gb"": 512}",good,draft,2025-04-17,18600.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.050}]",,,2025-04-24 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
4f23bdf5-5666-4522-8c7b-e7d426485139,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,01ff8df6-208a-40fd-bc27-a79a4733d467,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-IT-PC-00026,ITPC-649466,Dell,OptiPlex 7090,"{""cpu"": ""i5-11400"", ""ram_gb"": 32, ""storage_gb"": 1024}",good,draft,2023-09-25,21000.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2023-10-02 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
add37b45-f343-40dc-b32d-301bb1f11b6a,95ef5f39-7726-40fc-a96e-a70dc1197538,67bdcd67-117b-453f-88c9-25b12a0565e7,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-IT-MONITOR-00342,ITMONITOR-951735,ViewSonic,V22HD,"{""size_in"": 24, ""resolution"": ""2560x1440""}",poor,draft,2023-08-31,4220.00,,medium,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""condition_poor"", ""detail"": ""condition reported as poor"", ""weight"": 0.15}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.250}]",,,2023-09-07 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
18754f43-6a77-4e65-a133-23841c655bcb,6b10649a-5c67-48f5-b4b7-9040805a9348,a6ec99b6-0c5e-460f-9bcc-b385a07737c1,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-IT-LAPTOP-00058,ITLAPTOP-972699,HP,ProBook 444,"{""cpu"": ""i7-1165G7"", ""ram_gb"": 8, ""screen_in"": 15}",new,draft,2020-04-12,28900.00,,medium,"[{""code"": ""age_near_or_past_useful_life"", ""detail"": ""161% of expected life consumed"", ""weight"": 0.30}, {""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.400}]",,,2020-04-19 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
371c8f5b-7f2c-4e30-8326-cf20be57901e,6b10649a-5c67-48f5-b4b7-9040805a9348,85499f3b-df0c-46e7-b412-0e86014d2d23,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-IT-LAPTOP-00034,ITLAPTOP-197359,HP,ProBook 440,"{""cpu"": ""i7-1165G7"", ""ram_gb"": 16, ""screen_in"": 13}",poor,draft,2021-10-18,28900.00,,high,"[{""code"": ""age_near_or_past_useful_life"", ""detail"": ""123% of expected life consumed"", ""weight"": 0.30}, {""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""condition_poor"", ""detail"": ""condition reported as poor"", ""weight"": 0.15}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.550}]",,,2021-10-25 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
a40d399f-21db-4230-b466-1d994c0db768,d722453f-11da-442f-b41b-15b9deacbe80,42a0fa0c-5355-4ca9-b2c2-a1b6993ee48b,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-FURN-DESK-00420,,Upper Office Works,Desk-160cm,"{""material"": ""steel_wood"", ""width_cm"": 160}",new,draft,2019-09-10,4380.00,,medium,"[{""code"": ""age_high"", ""detail"": ""70% of expected life consumed"", ""weight"": 0.15}, {""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.250}]",,,2019-09-17 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
33dfb0fb-19ec-4b7f-b464-f3f9812b39b7,d722453f-11da-442f-b41b-15b9deacbe80,1396d3ba-cbf5-462b-9ba0-f055e43663f9,176f3f16-3ab1-409e-8c10-9631bea0edcc,AST-FURN-DESK-00349,,Upper Office Works,Desk-160cm,"{""material"": ""MDF"", ""width_cm"": 180}",new,draft,2021-05-10,4380.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2021-05-17 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
31631b15-6a13-4bba-9b7c-f6f2c3677ffc,d722453f-11da-442f-b41b-15b9deacbe80,a794d2a5-d422-4ca5-97b2-a4c30210ff52,176f3f16-3ab1-409e-8c10-9631bea0edcc,AST-FURN-DESK-00085,,Upper Office Works,Desk-160cm,"{""material"": ""steel_wood"", ""width_cm"": 140}",good,draft,2020-04-12,4120.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2020-04-19 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
b58f9d6d-c8c9-4699-bd97-a3c94ff9c340,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,67bdcd67-117b-453f-88c9-25b12a0565e7,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-FURN-CHAIR-00398,,Upper Office Works,Ergo-Basic,{},new,active,2021-01-16,2660.00,,medium,"[{""code"": ""age_high"", ""detail"": ""81% of expected life consumed"", ""weight"": 0.15}, {""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.250}]",,,2021-01-23 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
049ab4bb-2152-4230-9491-51e3308b7789,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,4f677013-b830-462d-a160-59ec1cdb41ec,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-FURN-CHAIR-00374,,Upper Office Works,Ergo-Pro,{},good,active,2025-06-23,2660.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2025-06-30 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
b90086d0-96ee-46ff-ad7c-1ede87627019,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,0a9ffe3b-a3e2-439e-a1a8-f299379438e2,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,AST-FURN-CHAIR-00350,,Upper Office Works,Ergo-Basic,{},fair,active,2022-04-30,2090.00,,medium,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""repair_cost_ratio_high"", ""detail"": ""12-month repair cost exceeds 40% of purchase cost"", ""weight"": 0.10}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.200}]",,,2022-05-07 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
e264899e-2ce6-4724-b7f9-4e422aa2af92,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,14b66bd0-87c7-4b31-b195-99a166e255b1,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-FURN-CHAIR-00326,,Upper Office Works,Ergo-Basic,{},fair,active,2020-05-09,2280.00,,high,"[{""code"": ""age_near_or_past_useful_life"", ""detail"": ""91% of expected life consumed"", ""weight"": 0.30}, {""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""high_downtime"", ""detail"": ""30 hours of downtime in 12 months"", ""weight"": 0.10}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.500}]",,,2020-05-16 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
54a6b2f8-ebff-4c03-b23e-4dde9713c835,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,b430dfa5-4f26-4ce2-bba1-b6ed3b2eefd4,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-FURN-CHAIR-00302,,Upper Office Works,Ergo-Pro,{},poor,active,2025-11-09,2280.00,,medium,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""condition_poor"", ""detail"": ""condition reported as poor"", ""weight"": 0.15}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.200}]",,,2025-11-16 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
88a998f2-c22f-4362-9c85-3a5f273982d1,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,4c2ec75b-86b2-44fa-94e9-0ac0abe593cc,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-FURN-CHAIR-00278,,Upper Office Works,Ergo-Basic,{},fair,active,2023-03-10,1900.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2023-03-17 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
990ecb0c-2eaa-4c55-9c68-1e42588d4bf3,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,4f677013-b830-462d-a160-59ec1cdb41ec,8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,AST-FURN-CHAIR-00206,,Upper Office Works,Ergo-Basic,{},good,active,2024-05-27,2470.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2024-06-03 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
043037c7-6faf-451a-ab41-2e2a417de211,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,0a9ffe3b-a3e2-439e-a1a8-f299379438e2,6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,AST-FURN-CHAIR-00182,,Upper Office Works,Ergo-Pro,{},good,active,2024-08-05,2470.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2024-08-12 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
005c93a5-5ee4-4b23-80d6-8f3ff2953ac3,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,14b66bd0-87c7-4b31-b195-99a166e255b1,1c4df881-cca6-49a3-9b2e-6a87a781ef63,AST-FURN-CHAIR-00158,,Upper Office Works,Ergo-Plus,{},fair,active,2024-04-13,2280.00,,low,"[{""code"": ""no_maintenance_schedule"", ""detail"": ""asset has no active maintenance template"", ""weight"": 0.05}, {""code"": ""no_active_warranty"", ""detail"": ""no warranty currently covers this asset"", ""weight"": 0.05}, {""code"": ""score"", ""detail"": ""baseline_rules v1.0.0, horizon 30 days"", ""weight"": 0.100}]",,,2024-04-20 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
