org_unit_name,building,category_name,warranty_bucket,asset_count,purchase_cost_at_risk
Electrical Engineering Department,Engineering Building,Monitor,expired,8,37600.00
Electrical Engineering Department,Engineering Building,Monitor,no warranty on record,4,18480.00
Electrical Engineering Department,Engineering Building,Office Chair,expired,1,2280.00
Electrical Engineering Department,Engineering Building,Office Chair,no warranty on record,2,4750.00
Electrical Engineering Department,Engineering Building,Office Desk,covered,1,4120.00
Electrical Engineering Department,Engineering Building,Office Desk,expired,3,12880.00
Electrical Engineering Department,Engineering Building,Office Desk,no warranty on record,2,8240.00
Electrical Engineering Department,Engineering Building,Oscilloscope,expired,1,81000.00
Electrical Engineering Department,Engineering Building,Printer,covered,2,21800.00
Electrical Engineering Department,Engineering Building,Printer,expired,3,32700.00
Electrical Engineering Department,Engineering Building,Printer,expiring in 30 days,1,10900.00
Electrical Engineering Department,Engineering Building,Projector,expired,3,47700.00
Electrical Engineering Department,Engineering Building,Projector,no warranty on record,1,18700.00
Facilities Management,Administration Building,3D Printer,covered,1,35400.00
Facilities Management,Administration Building,3D Printer,expired,5,170600.00
Facilities Management,Administration Building,Air Conditioner,covered,2,58800.00
Facilities Management,Administration Building,Air Conditioner,expired,2,54600.00
Facilities Management,Administration Building,Air Conditioner,no warranty on record,1,21000.00
Facilities Management,Administration Building,Desktop Computer,covered,1,21800.00
Facilities Management,Administration Building,Desktop Computer,expired,7,139800.00
Facilities Management,Administration Building,Desktop Computer,expiring in 90 days,3,60600.00
Facilities Management,Administration Building,Desktop Computer,no warranty on record,5,96200.00
Facilities Management,Administration Building,Laptop,covered,1,25000.00
Facilities Management,Administration Building,Laptop,expired,2,59100.00
Facilities Management,Administration Building,Laptop,expiring in 90 days,1,32800.00
Facilities Management,Administration Building,Laptop,no warranty on record,1,34100.00
Facilities Management,Administration Building,Monitor,expired,2,8760.00
Facilities Management,Administration Building,Monitor,no warranty on record,5,22380.00
Facilities Management,Administration Building,Office Chair,expired,4,8930.00
Facilities Management,Administration Building,Office Chair,expiring in 30 days,1,2280.00
Facilities Management,Administration Building,Office Chair,expiring in 90 days,1,2280.00
Facilities Management,Administration Building,Office Chair,no warranty on record,1,2470.00
Facilities Management,Administration Building,Office Desk,covered,2,7980.00
Facilities Management,Administration Building,Office Desk,expired,4,15960.00
Facilities Management,Administration Building,Printer,covered,3,32700.00
Facilities Management,Administration Building,Printer,expired,3,35250.00
Facilities Management,Administration Building,Projector,expired,5,89300.00
Facilities Management,Administration Building,Projector,expiring in 90 days,1,18700.00
Finance and Procurement,Administration Building,Desktop Computer,covered,8,151200.00
Finance and Procurement,Administration Building,Desktop Computer,expired,4,80000.00
Finance and Procurement,Administration Building,Desktop Computer,no warranty on record,2,37200.00
Finance and Procurement,Administration Building,Filing Cabinet,expired,2,6260.00
Finance and Procurement,Administration Building,Filing Cabinet,no warranty on record,3,9720.00
Finance and Procurement,Administration Building,Laptop,covered,1,28900.00
Finance and Procurement,Administration Building,Laptop,expired,2,63000.00
Finance and Procurement,Administration Building,Laptop,no warranty on record,3,88000.00
Finance and Procurement,Administration Building,Monitor,covered,3,15220.00
Finance and Procurement,Administration Building,Monitor,expired,2,8440.00
Finance and Procurement,Administration Building,Monitor,no warranty on record,1,5500.00
Finance and Procurement,Administration Building,Network Switch,expired,3,42700.00
Finance and Procurement,Administration Building,Network Switch,no warranty on record,2,22600.00
Finance and Procurement,Administration Building,Office Chair,expired,1,2090.00
Finance and Procurement,Administration Building,Office Chair,no warranty on record,3,7790.00
Finance and Procurement,Administration Building,Office Desk,expired,4,16740.00
Finance and Procurement,Administration Building,Office Desk,no warranty on record,1,4640.00
Finance and Procurement,Administration Building,Oscilloscope,expired,3,243000.00
Finance and Procurement,Administration Building,Oscilloscope,no warranty on record,2,152500.00
Finance and Procurement,Administration Building,UPS Unit,expired,1,10250.00
Finance and Procurement,Administration Building,UPS Unit,no warranty on record,2,16700.00
