org_unit_name,building,category_name,work_order_count,preventive_count,corrective_count,preventive_pct,outstanding_count,overdue_count,mttr_hours,downtime_minutes,downtime_hours,maintenance_cost
Computer Science Department,Engineering Building,Network Switch,15,13,2,86.7,5,2,5.82,3492,58.2,8427.00
Artificial Intelligence Department,AI and Data Science Building,UPS Unit,41,36,5,87.8,7,6,6.21,12677,211.3,26567.00
Artificial Intelligence Department,AI and Data Science Building,Network Switch,30,25,5,83.3,8,1,7.30,9640,160.7,14794.00
Data Science Department,AI and Data Science Building,Laptop,39,35,4,89.7,5,0,5.62,11474,191.2,23803.00
Artificial Intelligence Department,AI and Data Science Building,Laptop,52,46,6,88.5,8,3,3.53,9324,155.4,28411.00
Artificial Intelligence Department,AI and Data Science Building,Printer,14,12,2,85.7,2,1,3.84,2768,46.1,6948.00
Computer Science Department,Engineering Building,UPS Unit,40,39,1,97.5,6,1,2.26,4611,76.9,19297.00
Artificial Intelligence Department,AI and Data Science Building,Office Desk,21,17,4,81.0,7,0,7.70,6469,107.8,11370.00
Data Science Department,AI and Data Science Building,Air Conditioner,40,37,3,92.5,3,1,3.50,7772,129.5,18100.00
Finance and Procurement,Administration Building,Office Chair,1,0,1,0.0,0,0,4.48,269,4.5,1425.00
Data Science Department,AI and Data Science Building,Office Desk,9,8,1,88.9,3,0,9.67,3482,58.0,5011.00
Finance and Procurement,Administration Building,Monitor,26,20,6,76.9,6,1,10.76,12907,215.1,16654.00
Finance and Procurement,Administration Building,Oscilloscope,23,20,3,87.0,5,0,3.81,4119,68.7,15993.00
Artificial Intelligence Department,AI and Data Science Building,Desktop Computer,142,126,16,88.7,16,5,4.43,32420,540.3,73784.00
Electrical Engineering Department,Engineering Building,Printer,41,38,3,92.7,5,1,3.55,7664,127.7,18386.00
Data Science Department,AI and Data Science Building,Desktop Computer,114,102,12,89.5,18,6,4.28,24628,410.5,57584.00
Artificial Intelligence Department,AI and Data Science Building,Monitor,41,35,6,85.4,9,1,5.98,11126,185.4,22681.00
Electrical Engineering Department,Engineering Building,Laptop,47,42,5,89.4,6,0,5.34,13143,219.1,26860.00
Computer Science Department,Engineering Building,Filing Cabinet,17,0,17,0.0,2,2,21.81,19628,327.1,20480.00
Artificial Intelligence Department,AI and Data Science Building,Oscilloscope,19,16,3,84.2,4,0,4.66,4197,70.0,11688.00
Finance and Procurement,Administration Building,Filing Cabinet,7,0,7,0.0,1,1,20.90,7524,125.4,8128.00
Data Science Department,AI and Data Science Building,Printer,25,24,1,96.0,3,0,2.17,2866,47.8,10358.00
Computer Science Department,Engineering Building,Laptop,41,30,11,73.2,5,1,9.99,21575,359.6,32649.00
Data Science Department,AI and Data Science Building,Office Chair,7,0,7,0.0,0,0,22.67,9522,158.7,8644.00
Computer Science Department,Engineering Building,Projector,1,0,1,0.0,0,0,15.65,939,15.7,1630.00
Facilities Management,Administration Building,3D Printer,8,0,8,0.0,0,0,22.32,10715,178.6,14060.00
Electrical Engineering Department,Engineering Building,Air Conditioner,77,72,5,93.5,7,4,2.95,12388,206.5,37633.00
Facilities Management,Administration Building,Air Conditioner,48,44,4,91.7,4,0,2.46,6504,108.4,22065.00
Finance and Procurement,Administration Building,UPS Unit,14,14,0,100.0,2,0,2.04,1468,24.5,5670.00
Electrical Engineering Department,Engineering Building,Office Desk,15,14,1,93.3,6,1,3.10,1674,27.9,4361.00
Facilities Management,Administration Building,Laptop,36,31,5,86.1,5,0,5.45,10143,169.1,21425.00
Computer Science Department,Engineering Building,Oscilloscope,33,23,10,69.7,7,2,9.57,14928,248.8,24458.00
Computer Science Department,Engineering Building,Monitor,81,65,16,80.2,20,4,9.04,33080,551.3,44627.00
